product_id,product_name,review_text
P100,Wireless Earbuds Pro,These are absolutely fantastic! The sound quality is amazing and battery lasts forever.
P100,Wireless Earbuds Pro,Decent for the price but they fall out of my ears when I run.
P100,Wireless Earbuds Pro,Terrible product. One earbud stopped working after two days. Do not buy.
P101,Smart Coffee Maker,I love waking up to fresh coffee. The app integration is flawless.
P101,Smart Coffee Maker,It makes coffee fine, but the wifi connection drops constantly. Very annoying.
P101,Smart Coffee Maker,Completely broken out of the box. Returning immediately.
P101,Smart Coffee Maker,Best purchase of the year! Highly recommend to any coffee lover.
P102,Ergo Office Chair,Super comfortable for long work hours. My back pain is gone.
P102,Ergo Office Chair,Assembly was a nightmare and the instructions were missing. The chair itself is okay.
P102,Ergo Office Chair,The armrests are a bit wobbly, but otherwise a solid chair.
P103,Gaming Mouse X,Incredibly responsive and the RGB lighting looks sick.
P103,Gaming Mouse X,The side buttons are too mushy for competitive gaming. Disappointed.
P103,Gaming Mouse X,Average mouse. Nothing special but it gets the job done.
P100,Wireless Earbuds Pro,Connecting them to my phone was super easy. Five stars!
P101,Smart Coffee Maker,It leaks water all over my counter. Worst design ever.